source;translation;type;module;status;customer
"Gadget added";"ガジェットが追加されました。";S;;T;N
"Failed to close gadget";"ガジェットのクローズに失敗しました。";S;;T;N
"Gadget successfully closed";"ガジェットはうまくクローズされました。";S;;T;N
"Docking";"ドッキング";S;;T;N
"Gadgets saved";"ガジェットは保存されました。";S;;T;N
"Create Account";"アカウント作成";B;;T;N
"Account is already created.";"アカウントは既に作成されています。";S;;T;N
"Create Database";"データベース作成";B;;T;N
"Could not create database. %s";"データベースが作成できませんでした。%s";S;;T;N
"doesnt exist's";"存在しません。";S;;T;N
"Internal error";"内部エラー";B;;T;N
"Error during database creation.";"データベース作成中にエラーです。";S;;T;N
"OK";"OK";B;;N;N
"Failed to read headers of CSF file %s";"CSFファイル%sのヘッダーの読み込みに失敗しました。";S;;T;N
"Could not change permissions %s";"パーミッション %s が変更できませんでした。";S;;T;N
"Could not open file";"ファイルがオープンできませんでした。";S;;T;N
"Could not read file";"ファイルがリードできませんでした。";S;;T;N
"Rewind unsupported in this file stream";"このファイルストリームで未サポート";S;;T;N
"File %s does not exist.";"ファイル %s は存在しません。";S;;T;N
"Failed to read file %s";"ファイル %s がリードできません。";S;;T;N
"Could not create directory %s";"ディレクトリ %s が作成できません。";S;;T;N
"Could not open language file %s";"言語ファイル %s がオープンできません。";S;;T;N
"Level";"レベル";S;;T;N
"Message";"メッセージ";B;;T;N
"File";"ファイル";S;;T;N
"Line";"ライン";B;;T;N
"Group ID";"グループ ID";S;;T;N
"Log event";"イベントをログする。";S;;T;N
"Event(s) are deleted";"イベントは削除されました。";S;;T;N
"No event(s) to delete";"イベントは削除されませんでした。";S;;T;N
"Debug event(s) are deleted";"デバッグイベントは削除されました。";S;;T;N
"No debug event(s) to delete";"デバッグイベントは削除されませんでした。";S;;T;N
"Mail Account Name";"メールアカウント名";S;;T;N
"From Name";"送信者名";B;;T;N
"From Email";"送信元メール";S;;T;N
"Use SMTP protocol";"SMTPプロトコルを使用します。";S;;T;N
"SMTP Server";"SMTPサーバー";B;;T;N
"SMTP Port";"SMTPポート";B;;T;N
"SMTP Authentication";"SMTPオーセンティケーション";S;;T;N
"Use SSL connection";"SSLコネクションを使用します。";S;;T;N
"SMTP Username";"SMTPユーザー名";S;;T;N
"Is default mail account";"はデフォルトメールアカウントです。";S;;T;N
"Yes";"はい";B;;T;N
"No";"いいえ";B;;T;N
"Email account test mail";"電子メールアカウントのテストメール";B;;T;N
"Default Mail Account";"デフォルトメールアカウント";S;;T;N
"Email settings saved";"Eメール設定は保存されました。";S;;T;N
"Test mail scheduled, check outbox if it was sent.";"メールスケジュールのテストです。送信されたら送信ボックスをチェックして下さい。";S;;T;N
"Failed to restart %s row(s)";"%s 欄のリスタートに失敗しました";S;;T;N
"%s row(s) successfully restarted";"%s 欄はうまくリスタートされました。";S;;T;N
"To recipients";"宛先";S;;T;N
"Mail subject";"メール件名";S;;T;N
"Scheduled at";"スケジュール";S;;T;N
"Last retry";"最終リトライ";S;;T;N
"Retry number";"リトライナンバー";S;;T;N
"Error message";"エラーメッセージ";S;;T;N
"Account name";"アカウント名";B;;T;N
"Server Date";"サーバー日付";S;;T;N
"Server Time";"サーバー時刻";S;;T;N
"Mail template not defined in database for class %s";"クラス %s のデータベースで、メールテンプレートが定義されていません。";S;;T;N
"Recipients empty";"宛先が空欄です。";S;;T;N
"Body of mail not specified";"メールの本文が特定されていません。";S;;T;N
"From address is empty";"送信元アドレスが空欄です。";S;;T;N
"Failed to init mail headers";"メールヘッダの初期化に失敗しました。";S;;T;N
"Email transfer method error";"Eメール トランスファーメソッドのエラー";S;;T;N
"Application Title";"Post Affiliate Pro";S;;N;N
"Failed to save settings with error %s";"%s エラーで設定の保存に失敗しました。";S;;T;N
"Proxy server settings saved.";"プロキシサーバー設定は保存されました。";S;;T;N
"Failed to load proxy server settings.";"プロキシサーバー設定のロードに失敗しました。";S;;T;N
"Pdf saved";"PDFが保存されました。";S;;T;N
"Path to save file '%s' not exist";"ファイル '%s' の保存パスが存在しません。";S;;T;N
"Path to save file %s is null";"ファイル '%s' の保存パスがnullです。";S;;T;N
"Unable to create file %s%s.pdf";"%s%s.pdf ファイルが作成できませんでした。";S;;T;N
"Pdf output: %s";"PDF 出力: %s";S;;T;N
"Role";"ロール";B;;T;N
"Logged in";"ログイン済";S;;T;N
"Last Request";"最終リクエスト";S;;T;N
"entries";"エントリ";S;;T;N
"SettingsImportExportDescription";"全システム設定";B;;T;N
"Undefined table name";"未定義のテーブル名";S;;T;N
"Undefined $option";"未定義 $option";S;;T;N
"Table alias must by defined";"テーブル別名が定義されている必要があります。";S;;T;N
"equals";"等しい";S;;T;N
"not equals";"等しくない";S;;T;N
"is like";"イズライク";S;;T;N
"is not like";"イズノットライク";S;;T;N
"is greater";"より大きい";S;;T;N
"is lower";"より小さい";S;;T;N
"is greater or equal";"大きいかまたは等しい";S;;T;N
"is lower or equal";"小さいかまたは等しい";S;;T;N
"is";"イズ";S;;T;N
"is in";"イズイン";S;;T;N
"Template";"テンプレート";S;;T;N
"Unable to save template '%s'";"テンプレート '%s' が保存できませんでした。";S;;T;N
"Template '%s' saved";"テンプレート '%s' は保存されました。";S;;T;N
